turn,gold
1215,54
1216,55
1217,54
1218,55
1219,54
1220,53
1221,52
1222,51
1223,52
1224,51
1225,52
1226,51
1227,52
1228,51
1229,52
1230,51
1231,52
1232,51
1233,52
1234,51
1235,52
1236,51
1237,50
1238,51
1239,50
1240,51
1241,50
1242,51
1243,50
1244,49
1245,50
1246,49
1247,48
1248,49
1249,48
1250,49
1251,48
1252,49
1253,48
1254,49
1255,48
1256,49
1257,48
1258,49
1259,48
1260,49
1261,48
1262,47
1263,48
1264,47
1265,48
1266,47
1267,48
1268,47
1269,48
1270,47
1271,48
1272,47
1273,46
1274,47
1275,46
1276,47
1277,46
1278,45
1279,46
1280,45
1281,46
1282,45
1283,46
1284,45
1285,46
1286,45
1287,46
1288,45
1289,44
1290,45
1291,44
1292,45
1293,44
1294,45
1295,44
1296,45
1297,44
1298,45
1299,44
1300,43
1301,44
1302,43
1303,44
1304,43
1305,44
1306,45
1307,44
1308,43
1309,44
1310,43
1311,44
1312,43
1313,44
1314,43
1315,44
1316,43
1317,44
1318,43
1319,44
1320,43
1321,44
1322,43
1323,44
1324,43
1325,44
1326,43
1327,44
1328,43
1329,42
1330,43
1331,42
1332,43
1333,42
1334,43
1335,42
1336,43
1337,42
1338,43
1339,42
1340,41
1341,42
1342,41
1343,42
1344,41
1345,42
1346,41
1347,42
1348,41
1349,40
1350,41
1351,40
